,text
214629,joe biden it s a stupid cunt  he insulted the face of great america in front of the whole world    biden  ukraine  ukraineconflict   europa
215250,anti war protest in putin s hometown st   petersburg  people being arrested   people confronting they re own govs with anti trust and pacific protests  there is no cure for too much power    ukrainian  ukraine  ukrainewar   worldwar 
216789,more than   detainees at a rally in support of  ukraine in  moscow  
217353,unprecedented scenes at osce  when the russian representative took the floor to speak about   the point  all ambassadors and reps from eu countries   like minded just stood up and walked out   russia  ukraine 
220213,big crowd in st petersburg   russia protesting against putin s invasion of  ukraine despite a ban on protests    
220863,lithuanians  standwithukraine during this unprovoked  amp  unjustified  russia s    attack on a sovereign  amp  peaceful  european nation     today  thousands of people march in support of  ukraine in vilnius  friends  we are with you  you are not alone           slavaukraini 
221372, decided to go to sleep before addressing the war in  ukraine   next to one of the  usa s  greatest allies    poland   and nancy pelosi thinks  russia invaded  hungary  if  trump were the president  none of it would ever happen  
221847,map  updated map of the southern ukraine  russia has breached ukrainian positions at ivanivsky and reached melitopol  ukraine  russia 
224932, ukraine despite attacks and air raid sirens sounded in the ukrainian capital  kyiv  people are queuing up to donate blood    full solidarity with ukraine  it is heartbreaking to see it attacked by the kremlin  as a child  i used to spend summers in ukraine with my grandparents 
225316,young russians showing that ukrainian lives matter    ukraine  russia 
226868,near the russian consulate in tel aviv   russian citizens burn their passports in support of  ukraine 
228438,and by the way  not a single case of looting in the whole  ukraine  so much for  the most corrupt nation     standwithukraine  standforukraine
228555,  bit studios team statement   fuckthewar  ukraine    
229751,i call for peace and sustained access for the delivery of humanitarian assistance in  ukraine  i ve released a further     m from  contingency fund for emergencies to buy and deliver urgent medical supplies  this adds to supplies we prepositioned in health facilities 
229902,ukrainian woman tell a russian soldier in his face  leave our land  you will not get it  soldier  this conversation is going no where   what a brave woman                  ukrainerussie  istandwithukraine  ukraina  kiev  biden   kyiv  nuclear   swift   wwiii   poland 
230792,amnesty s crisis evidence lab verified damage to a residential block near chuhuiv air base in  ukraine  killing a civilian and injuring another  we call on  russia to take all feasible measures to refrain from indiscriminate attacks  civilians must be protected  
231390,    information for refugees from  ukraine   
231715,the eu is voting tonight on getting  russia out of  swift to support  ukraine   germany and italy are holding against  german and italian friends  make your voice heard  enough        
232388, thread a painful fact about this unrest in the  ukrainerussia crisis is dt nigerian lecturers wil now be cooking questions together like   the stance of biden on the war btw russia and ukraine as left many mouths opened   nato  ukrainecrisis  russiaukraineconflict  russiaukraine
232526,wounded russian pow being treated by an ukrainian soldier earlier today    russia  ukrainian  ukraine  russiaukraineconflict  russiainvadesukraine 
232894,which side are you on   ukraine  russia
234964,in  novosibirsk   russia  local residents are marching in  protest against the russian invasion of  ukraine   
235458,today was a hard day  but it was also our independence day     ev     all nations deserve to live in a free  independent and democratic country    today we stand with our ukrainian    friends and will continue to work tirelessly to  stoprussianaggression   standwithukraine 
235836,dear  can you state unequivocally that azerbaijan condemns russian aggression   standwithukraine 
236505,       bit studios team statement   fuckthewar  ukraine   
236727,germany  italy  cyprus  hungary  if it s true that you refuse shutting russia off  swift  you are a disgrace  not only to europe  but to humanity too     standforukraine  standwithukraine
237037,   usdt donation to aid theukrainian citizens   thanks to our friends from portugal      standwithukraine  aidukraine
237332,  bit studios team statement   fuckthewar  ukraine    
238212,  bit studios team statement   fuckthewar  ukraine    
238648,kiev  may     we sentence you to death motherfucker   ukraine  russia  russianinvasion 
240198,if reports are accurate that the  ukraine military recaptured the hostomel airfield outside  kyiv tonight  that s no insignificant feat    there were    elite vdv paratroopers there earlier   it d also have stalled  russia s plan to fly in a force to take the capital  for now 
240389,  bit studios team statement   fuckthewar  ukraine    
240753,european council conclusions on russia s unprovoked and unjustified military aggression against  ukraine 
242039,  bit studios team statement   fuckthewar  ukraine    
242094,i was going to say happy thursday  but i woke up to the fact that  just as we re coming out of a pandemic  now we have the threat of world war    absolute madness   ukraine   
242472, give em hell     without that airport  itll be hard for the russians to take kyiv  the world stands behind you  ukraine
242673, sanctions  too weak  we need a  swift reaction to russia invasion    and cut off  russia form the  internet 
243434,the eu is voting tonight on getting  russia out of  swift to support  ukraine   germany and italy are holding against  german and italian friends  make your voice heard  enough        
243500, ukraine everywhere  we are all with you               
245870,footage in ukraine  ukraine  russianinvasion  ukrainewar  russia 
246556,hitler lost the war  the same will happen to putin   standwithukraine  ukrainianswillresist    putin  hitler  russiainvadedukraine  wojna 
246846,this is moscow   russia  people went out to the streets protesting against the war and russian invasion in  ukraine  according to human rights defenders  more than   people have been detained so far for protests in russia  their number will most certainly grow 
247485,spoke with  poland s president  on  russia s brutal attack on  ukraine  amp  the consequences for euro atlantic security   nato leaders are meeting tomorrow  we stand united to protect  amp  defend all allies 
247765,    detainees all over  russia by this hour 
247967,spoke with  poland s president  on  russia s brutal attack on  ukraine  amp  the consequences for euro atlantic security   nato leaders are meeting tomorrow  we stand united to protect  amp  defend all allies 
248384, stopwar     modlitwa o nawr cenie serca  putin      pray  by  blessedvirginmary she is the ark of the covenant  only god is able to change putin s heart     ukraine  ukrainewar  wojna  ukraina  ukrainerussie  ukrainerussiaconflict  rosjaukraina  wtylewizji
250026,pm  on the situation in  ukraine and the eu s response to russian aggression  civilians are being killed now every minute  every hour  and we have to be very strong and united  and we have to reply in an appropriate way  
250348,a picture is worth a thousand words     putin  wwiii  worldwar   russiaukraineconflict  nato  ucrania  stopwar 
250457,the united states imposes sanctions on   individuals and legal entities from  belarus due to the  russian invasion of  ukraine 
251613,unbearable    a ukrainian father says goodbye to his family as he sends them to a safe zone and prepares to stay back and fight     putin  wwiii  worldwar   russiaukraineconflict  nato  ucrania  stopwar 
252383,spoke with  poland s president  on  russia s brutal attack on  ukraine  amp  the consequences for euro atlantic security   nato leaders are meeting tomorrow  we stand united to protect  amp  defend all allies 
257524,   british foreign office said that   london will not rest until the  russian economy is destroyed and  ukraine s sovereignty and territorial integrity restored  
257895,eu sanctions against russia will have mid term effect  not immediate one   german finance minister  russia  russiaukraineconflict  ukraine 
258028,    automatic rifles have been given to regular civilians in  kyiv in the last few hours   interior minister
258814,unicef has started a fundraiser to help children in ukraine  rt  wojna  ukrainerussie  ukraina  ukraine  prayforukraine   
259618,get rid of  they don t belong here    take a stance  are you with the people  or are you with the money  ukraine  war  wojna  russia  wakeup
262857,the anonymous collective is officially in cyber war against the russian government   anonymous  ukraine
265176,  the president of  ukraine has announced general mobilization 
265744,we ll withstand it       ukraine 
266156,  ukrainian moots   polish government opened a website for ukrainian refugees seeking safety and wanting to cross the ukrainian polish border  it ll be updated regularly   information is available in polish  ukrainian  russian and english   ukraine
266900,today europe can be blackmailed by russia because of years of misguided climate policy divorced from national security considerations  putin s war on  ukraine must be a wake up call for the eu to get back down to earth when it comes to energy policy   
266903,there are now  russian troops only   km      miles  from a  nato member   romania  for comparison  the strait of dover in the english channel is   km    miles  wide   let s hope this tiny outpost won t live up to its mythological roots  amp  become an  achilles heel  
267756,hitler lost the war  the same will happen to putin   standwithukraine  ukrainianswillresist    putin  hitler  russiainvadedukraine  wojna 
267975, russian police beat women who came out to protest against the war     russian  moscow 
268276, ukraine  the result of the  peaceful  russian shelling      f ck putin  
268480,in  vilnius   lithuania  thousands joined a protest outside  russia s embassy to demonstrate against putin s invasion of  ukraine  
